SNP_1,SNP_2,pvalue_uncorrected_MT,pvalue_corrected_MT,gene1,gene2
rs381870,rs1859085,1.991e-08,0.0161084142394822,SLC22A5,SLC22A4
rs381870,rs2070722,1.771e-08,0.0143284789644013,SLC22A5,SLC22A4
rs381870,rs273914,3.778e-08,0.0305663430420712,SLC22A5,SLC22A4
rs4855852,rs11130186,5.536e-10,0.00044789644012945,IP6K2,IP6K1
rs4855852,rs11130218,8.16000000000001e-10,0.000660194174757282,IP6K2,IP6K1
rs4855852,rs11130218,8.16000000000001e-10,0.000660194174757282,MST1R,MST1
rs4855852,rs11130228,3.593e-08,0.0290695792880259,HYAL3,HYAL1
rs4855852,rs11130228,3.593e-08,0.0290695792880259,MST1R,MST1
rs4855852,rs2245365,5.14599999999999e-08,0.0416343042071197,MST1R,MST1
rs4855852,rs2245365,5.14599999999999e-08,0.0416343042071197,HYAL3,HYAL1
rs4858795,rs11720964,2.732e-11,2.21035598705502e-05,RHOA,PLXNB1
rs4858795,rs13064780,2.159e-10,0.000174676375404531,RHOA,PLXNB1
rs6442124,rs11720964,5.158e-11,4.17313915857605e-05,RHOA,PLXNB1
rs6442124,rs13064780,2.247e-08,0.0181796116504854,RHOA,PLXNB1
rs6897597,rs10072700,5.78000000000001e-09,0.00467637540453075,SLC22A5,SLC22A4
rs6897597,rs10076701,2.361e-09,0.00191019417475728,SLC22A5,SLC22A4
rs6897597,rs11950562,3.568e-08,0.0288673139158576,SLC22A5,SLC22A4
rs6897597,rs12521097,7.479e-11,6.05097087378641e-05,SLC22A5,SLC22A4
rs6897597,rs200838,5.572e-08,0.0450809061488673,SLC22A5,SLC22A4
rs6897597,rs273914,1.409e-09,0.00113996763754045,SLC22A5,SLC22A4
rs6897597,rs274555,2.576e-10,0.000208414239482201,SLC22A5,SLC22A4
rs695238,rs1060962,3.03e-09,0.00245145631067961,MST1R,MST1
rs695238,rs1060962,3.03e-09,0.00245145631067961,IP6K2,IP6K1
rs695238,rs12488468,1.073e-09,0.000868122977346278,MST1R,MST1
rs695238,rs4855852,2.141e-09,0.00173220064724919,IP6K2,IP6K1
rs695238,rs4855852,2.141e-09,0.00173220064724919,MST1R,MST1
rs7431710,rs2267844,3.092e-10,0.000250161812297735,RHOA,PLXNB1
rs7431710,rs4858795,4.668e-10,0.000377669902912621,RHOA,PLXNB1
rs7644148,rs1060962,5.68500000000001e-10,0.00045995145631068,IP6K2,IP6K1
rs7644148,rs4855852,7.05100000000001e-10,0.000570469255663431,IP6K2,IP6K1
rs7733502,rs11957350,5.78000000000001e-08,0.0467637540453075,SLC22A5,SLC22A4
rs873985,rs6446298,2.105e-08,0.0170307443365696,SPAM1,HYAL3
rs873985,rs6446298,2.105e-08,0.0170307443365696,HYAL3,HYAL1
rs873985,rs6446298,2.105e-08,0.0170307443365696,SPAM1,HYAL1
