Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top-0.1-pvalue	Best-SNP	SNP-pvalue
1	ENSG00000078808	3	1000000	1142287	1177411	103.778961895326	9.99999000001e-7	9.99999000001e-7	rs6697886	9.26799999999988e-12
1	ENSG00000078900	1	1000	3559083	3662765	1.76421211873909	0.187812187812188	0.187812187812188	rs3765753	0.184100000000001
1	ENSG00000079277	1	100000	47013079	47092515	8.53020684519096	0.003729962700373	0.003729962700373	rs6671527	0.003493
1	ENSG00000079335	2	1000	100800556	100995834	2.20515556031238	0.336663336663337	0.388611388611389	rs7516666	0.228399999999999
1	ENSG00000079739	4	100000	64048946	64135916	14.8150652770375	0.0537794622053779	0.0578094219057809	rs2269240	0.0428200000000002
1	ENSG00000081019	44	1000	114294453	114365098	56.1785833065158	0.271728271728272	0.22977022977023	rs6679677	0.01476
1	ENSG00000081026	232	1000	113923370	114238545	245.323196026865	0.364635364635365	0.34965034965035	rs11102658	0.0213899999999999
1	ENSG00000081237	116	1000000	198597586	198736605	726.830008158834	2.7999972000028e-5	9.3999906000094e-5	rs76181804	1.28599999999998e-6
1	ENSG00000081248	58	1000000	200998639	201091694	2470.64057069179	9.99999000001e-7	9.99999000001e-7	rs72749166	1.04299999999997e-27
1	ENSG00000081277	1	1000	201242579	201312121	0.206278559652016	0.666333666333666	0.666333666333666	rs1794868	0.6497
1	ENSG00000081870	1	100000	54372246	54421602	4.97407224204	0.026219737802622	0.026219737802622	rs2235544	0.02573
1	ENSG00000081985	128	1000000	67763046	67872583	3056.28128937756	9.99999000001e-7	9.99999000001e-7	rs11802647	1.41499999999993e-56
1	ENSG00000082482	4	100000	215169117	215420436	7.23253077757627	0.130268697313027	0.0547194528054719	rs946487	0.01425
1	ENSG00000082497	1	1000	210396143	210429976	0.0677104525136013	0.792207792207792	0.792207792207792	rs845452	0.7947
1	ENSG00000083444	3	1000	11984261	12045595	5.7850884936324	0.141858141858142	0.131868131868132	rs2273289	0.0479400000000001
1	ENSG00000084636	3	1000	32107847	32179920	1.84156087761311	0.526473526473527	0.365634365634366	rs12401511	0.1965
1	ENSG00000085465	1	1000	111946935	111980399	1.12287608636103	0.294705294705295	0.294705294705295	rs1264913	0.2893
1	ENSG00000085552	1	100000	159886828	159925394	5.61375860859315	0.017029829701703	0.017029829701703	rs2249707	0.0178199999999999
1	ENSG00000085831	1	1000	51742929	51820788	2.62790766402871	0.102897102897103	0.102897102897103	rs6588405	0.105
1	ENSG00000085832	3	1000	51809934	51995000	5.24344052729802	0.152847152847153	0.158841158841159	rs6588405	0.105
1	ENSG00000086015	4	1000	46242658	46511796	11.4094498091302	0.041958041958042	0.124875124875125	rs33931638	0.0308800000000001
1	ENSG00000086619	1	1000	236368854	236455285	0.9727310746438	0.336663336663337	0.336663336663337	rs1405630	0.324
1	ENSG00000090020	2	1000	27415305	27503472	1.04157568761994	0.48951048951049	0.45954045954046	rs12142002	0.3853
1	ENSG00000090104	47	1000	192534856	192559161	11.435564852267	0.97002997002997	0.874125874125874	rs12136860	0.0647299999999995
1	ENSG00000090686	5	1000	21994790	22120099	2.49538798173179	0.652347652347652	0.599400599400599	rs333173	0.262599999999999
1	ENSG00000092607	3	1000	119415668	119542179	2.06540655686625	0.405594405594406	0.398601398601399	rs7545737	0.3419
1	ENSG00000092621	2	1000	120181033	120296849	2.11166524549915	0.334665334665335	0.411588411588412	rs541503	0.2428
1	ENSG00000092847	1	1000	36325408	36406129	0.0599974316084778	0.822177822177822	0.822177822177822	rs595961	0.8065
1	ENSG00000092978	1	1000	217590333	217814424	0.0658353010252997	0.81018981018981	0.81018981018981	rs4846416	0.7975
1	ENSG00000094963	3	1000	171144346	171190369	1.76267193994131	0.542457542457542	0.585414585414585	rs2020863	0.3461
1	ENSG00000097021	3	1000	6314328	6464451	3.74534684055597	0.274725274725275	0.337662337662338	rs4582826	0.1769
1	ENSG00000097033	1	100000	87160252	87223867	5.38849035274636	0.020229797702023	0.020229797702023	rs932185	0.02027
1	ENSG00000097046	1	100000	91956449	92001321	10.203162725593	0.001339986600134	0.001339986600134	rs12125947	0.00140200000000003
1	ENSG00000116132	1	1000	170621868	170718560	0.0852537835330945	0.757242757242757	0.757242757242757	rs583006	0.7703
1	ENSG00000116141	1	1000	220691524	220847803	2.01745085774053	0.162837162837163	0.162837162837163	rs11590946	0.155500000000001
1	ENSG00000116147	11	100000	175274329	175722906	19.7857920471212	0.0886891131088689	0.040389596104039	rs875326	0.00889899999999998
1	ENSG00000116151	1	1000	2242691	2333146	2.46106005679007	0.114885114885115	0.114885114885115	rs2840528	0.116700000000001
1	ENSG00000116157	1	1000	53058043	53084723	2.50757719690736	0.123876123876124	0.123876123876124	rs6671552	0.113299999999999
1	ENSG00000116183	2	1000	176422306	176824741	1.72100913341402	0.448551448551449	0.495504495504495	rs12084712	0.2697
1	ENSG00000116199	3	1000	178984938	179055697	2.52318661979524	0.433566433566434	0.422577422577423	rs2025580	0.2148
1	ENSG00000116213	1	1000	3537330	3579325	2.73372315212943	0.104895104895105	0.104895104895105	rs2760319	0.09825
1	ENSG00000116218	1	1000	179509673	179555087	1.93144903813145	0.134865134865135	0.134865134865135	rs10494515	0.1646
1	ENSG00000116251	1	1000	6231328	6279449	0.7161794059176	0.392607392607393	0.392607392607393	rs4908865	0.3974
1	ENSG00000116254	1	1000	6151852	6250183	0.977163891972253	0.330669330669331	0.330669330669331	rs3789530	0.3229
1	ENSG00000116260	13	1000	180113968	180183165	2.63592624044894	0.874125874125874	0.87012987012987	rs3842890	0.322
1	ENSG00000116266	1	1000	109279295	109362148	1.6256915851417	0.208791208791209	0.208791208791209	rs1277016	0.202299999999999
1	ENSG00000116285	31	1000000	8054463	8096368	572.743113796316	9.99999000001e-7	9.99999000001e-7	rs2294889	2.79900000375119e-14
1	ENSG00000116288	36	1000000	8004350	8055565	721.877730013979	9.99999000001e-7	9.99999000001e-7	rs3766606	3.0940000013596e-14
1	ENSG00000116337	1	1000	110148725	110184673	1.09529943974803	0.276723276723277	0.276723276723277	rs568686	0.2953
1	ENSG00000116455	1	1000	111972511	112001998	1.12287608636103	0.285714285714286	0.285714285714286	rs1264913	0.2893
1	ENSG00000116473	1	1000	112074839	112269313	0.278174830959324	0.591408591408591	0.591408591408591	rs1338078	0.5979
1	ENSG00000116489	1	1000000	113151794	113224241	17.3932707238625	3.1999968000032e-5	3.1999968000032e-5	rs2999155	3.03900000000008e-5
1	ENSG00000116497	1	1000	33272367	33334480	0.417873576011179	0.492507492507492	0.492507492507492	rs6677618	0.518
1	ENSG00000116514	1	100000	33392045	33440286	5.28985548349737	0.020929790702093	0.020929790702093	rs979383	0.02145
1	ENSG00000116521	14	1000000	155215769	155242221	324.536608522709	9.99999000001e-7	9.99999000001e-7	rs734074	1.77000000000001e-7
1	ENSG00000116539	33	1000000	155295058	155542598	385.843418222902	5.1999948000052e-5	2.8999971000029e-5	rs12724079	2.90100000000006e-6
1	ENSG00000116580	40	1000000	155709452	155839191	205.449132293078	0.00640899359100641	2.37999762000238e-4	rs7541060	2.20300000000006e-5
1	ENSG00000116584	42	1000000	155906641	155986861	355.096600848841	1.15999884000116e-4	9.6999903000097e-5	rs4661175	3.97899999999991e-6
1	ENSG00000116586	8	100000	156014542	156038301	41.9556166405563	0.002469975300247	0.002729972700273	rs12049195	4.65500000000009e-4
1	ENSG00000116641	4	100000	62909968	63164039	36.3240327155115	0.002379976200238	0.00109998900011	rs1748195	9.59400000000002e-4
1	ENSG00000116667	3	100000	184346191	184608154	15.7897407150815	0.00770992290077099	0.029169708302917	rs6666696	0.0145
1	ENSG00000116675	3	1000	65703901	65891552	1.48206408938504	0.483516483516484	0.505494505494505	rs6588140	0.4641
1	ENSG00000116678	3	100000	65876334	66117242	6.43680358764709	0.0997090029099709	0.0811191888081119	rs2025805	0.0294999999999999
1	ENSG00000116685	2	1000	11969647	11996485	2.11875407338866	0.294705294705295	0.282717282717283	rs6682554	0.1884
1	ENSG00000116688	2	1000	12030237	12083571	1.15878792402712	0.532467532467532	0.508491508491508	rs6675934	0.313500000000001
1	ENSG00000116698	116	100000	183431350	183577381	209.146272397575	0.0978590214097859	0.016669833301667	rs36071574	6.86399999999998e-4
1	ENSG00000116701	73	100000	183514697	183570011	121.611183794574	0.137328626713733	0.00988990110098899	rs36071574	6.86399999999998e-4
1	ENSG00000116704	3	100000	67455014	67529782	19.6170893185713	0.00623993760062399	0.004149958500415	rs2755244	0.001614
1	ENSG00000116711	5	1000000	186788084	186968113	43.3734125481234	2.2999977000023e-5	6.7999932000068e-5	rs10798069	1.68800000000003e-5
1	ENSG00000116717	1	100000	68140743	68164021	3.00769610612158	0.0803191968080319	0.0803191968080319	rs2815266	0.0828700000000002
1	ENSG00000116729	2	1000	68554155	68708803	0.936379243629389	0.517482517482518	0.606393606393606	rs594193	0.4649
1	ENSG00000116731	3	1000	14016692	14161574	3.47172426829422	0.326673326673327	0.135864135864136	rs4662019	0.0633299999999995
1	ENSG00000116748	1	1000	115205710	115248239	0.0506130119509946	0.817182817182817	0.817182817182817	rs17602729	0.822
1	ENSG00000116754	1	1000	70661364	70728735	0.0588017159157489	0.833166833166833	0.833166833166833	rs2274913	0.8084
1	ENSG00000116774	28	100000	114512012	114588194	49.1795093823184	0.117088829111709	0.0907690923090769	rs3789614	0.004657
1	ENSG00000116783	1	1000	74691084	75020112	0.0169218367642465	0.913086913086913	0.913086913086913	rs649058	0.8965
1	ENSG00000116793	44	1000	114229452	114312111	36.6261588843462	0.430569430569431	0.263736263736264	rs6679677	0.01476
1	ENSG00000116815	28	1000	117047156	117123661	38.6739485591845	0.223776223776224	0.428571428571429	rs1414275	0.0911099999999995
1	ENSG00000116824	24	1000	117287006	117321850	38.4224966089816	0.136863136863137	0.424575424575425	rs10754328	0.0567200000000003
1	ENSG00000116830	2	1000	117592924	117660075	0.408422052238396	0.731268731268731	0.757242757242757	rs1555794	0.6027
1	ENSG00000116833	5	1000000	199986729	200156552	64.8241906870466	9.99999000001e-7	9.99999000001e-7	rs2816958	8.3070000000000508e-09
1	ENSG00000116852	98	1000000	200928517	201002828	4373.77366710191	9.99999000001e-7	9.99999000001e-7	rs12126806	5.47299999999887e-31
1	ENSG00000116857	1	1000	201093899	201150702	0.10423966298396	0.736263736263736	0.736263736263736	rs1059625	0.7468
1	ENSG00000116882	1	1000	119901401	119946753	1.40492921350178	0.263736263736264	0.263736263736264	rs1935248	0.2359
1	ENSG00000116883	1	100000	36779334	36804822	4.19974745232915	0.040469595304047	0.040469595304047	rs12116935	0.04043
1	ENSG00000116885	1	1000	36871427	36926052	5.55285020911657e-4	0.985014985014985	0.985014985014985	rs61308377	0.9812
1	ENSG00000116906	2	1000	231366952	231423719	0.005110332878873	0.984015984015984	0.983016983016983	rs562470	0.9514
1	ENSG00000116977	3	1000	236671299	236726281	5.08486184318901	0.193806193806194	0.132867132867133	rs11807205	0.1159
1	ENSG00000116981	1	100000	40114792	40147710	3.28842307947921	0.0701992980070199	0.0701992980070199	rs784600	0.0697700000000002
1	ENSG00000116983	1	100000	40134319	40167361	3.28842307947921	0.0709792902070979	0.0709792902070979	rs784600	0.0697700000000002
1	ENSG00000116984	9	100000	236948580	237077281	29.663040039988	0.037919620803792	0.04009959900401	rs3820571	0.01129
1	ENSG00000116991	2	1000	232523710	232707304	1.64707103793661	0.434565434565435	0.350649350649351	rs7523171	0.201300000000001
1	ENSG00000117009	3	1000	241685433	241768944	5.44279145196268	0.160839160839161	0.131868131868132	rs3007736	0.06833
1	ENSG00000117013	1	1000	41239485	41316124	1.00834355180515	0.307692307692308	0.307692307692308	rs7549877	0.315300000000001
1	ENSG00000117016	2	1000	41076350	41141329	0.0497941693503963	0.909090909090909	0.934065934065934	rs491619	0.8704
1	ENSG00000117020	6	1000	243641534	244024381	6.78106763191778	0.312687312687313	0.442557442557443	rs4614244	0.13
1	ENSG00000117069	2	1000	77323125	77541396	2.4741263303264	0.27972027972028	0.345654345654346	rs199694	0.199699999999999
1	ENSG00000117114	14	1000	81761844	82468120	6.52210661430943	0.913086913086913	0.942057942057942	rs17420202	0.194599999999999
1	ENSG00000117118	1	1000	17335216	17390665	0.0776555799787598	0.774225774225774	0.774225774225774	rs11203280	0.7805
1	ENSG00000117139	1	1000	202683618	202788598	0.372951180854131	0.537462537462537	0.537462537462537	rs2363965	0.5414
1	ENSG00000117143	4	1000	162521295	162579632	6.81177423086787	0.157842157842158	0.244755244755245	rs6672561	0.113899999999999
1	ENSG00000117148	5	1000	18071807	18163558	2.36370026141496	0.665334665334665	0.75024975024975	rs4141983	0.3612
1	ENSG00000117152	1	1000	163028564	163056592	2.60689360255445	0.100899100899101	0.100899100899101	rs2661319	0.1064
1	ENSG00000117154	2	1000	18424239	18714977	0.511052005004269	0.789210789210789	0.761238761238761	rs10492995	0.4975
1	ENSG00000117226	1	100000	89462348	89498577	5.65355723186601	0.017989820101799	0.017989820101799	rs4656078	0.01742
1	ENSG00000117242	2	100000	20959149	20988686	6.78773161379141	0.0549894501054989	0.0549394506054939	rs3121680	0.0326299999999998
1	ENSG00000117245	1	1000	20980506	21054510	1.83447409935361	0.170829170829171	0.170829170829171	rs12025916	0.175599999999999
1	ENSG00000117266	4	100000	205463722	205511921	36.4806994114023	2.89997100029e-4	0.001329986700133	rs11240503	3.91900000000005e-4
1	ENSG00000117280	4	1000000	205727113	205754588	31.6378283026009	3.28999671000329e-4	6.25999374000626e-4	rs708723	1.77099999999999e-4
1	ENSG00000117298	1	100000	21533739	21681997	3.20307398950502	0.0759492405075949	0.0759492405075949	rs1076669	0.073500000000000107
1	ENSG00000117322	35	1000	207617574	207673240	14.1400003783167	0.775224775224775	0.864135864135864	rs112822892	0.1611
1	ENSG00000117335	4	100000	207915401	207978858	7.65614087789344	0.13389866101339	0.023119768802312	rs2796268	0.00795800000000003
1	ENSG00000117394	3	1000	43381045	43434847	4.95503367471287	0.1998001998002	0.207792207792208	rs3806401	0.1263
1	ENSG00000117407	1	1000	44388991	44412913	0.657624044855072	0.422577422577423	0.422577422577423	rs9326136	0.4174
1	ENSG00000117408	1	1000	44402610	44443694	1.18915534216385	0.264735264735265	0.264735264735265	rs7161	0.2755
1	ENSG00000117410	1	1000	44430158	44453967	1.18915534216385	0.274725274725275	0.274725274725275	rs7161	0.2755
1	ENSG00000117411	1	1000	44434614	44466842	1.18915534216385	0.273726273726274	0.273726273726274	rs7161	0.2755
1	ENSG00000117461	1	100000	46495811	46608708	4.65962139054428	0.030539694603054	0.030539694603054	rs33931638	0.0308800000000001
1	ENSG00000117479	1	100000	169423146	169465241	8.68806778470312	0.003119968800312	0.003119968800312	rs6696217	0.00320299999999999
1	ENSG00000117500	2	100000	93605298	93656285	13.8553044124387	0.003929960700393	0.00487995120048799	rs1572343	0.002434
1	ENSG00000117501	3	1000	170894611	171043906	0.209410800635239	0.931068931068931	0.92007992007992	rs28817011	0.7007
1	ENSG00000117505	6	100000	93801444	93845055	51.321490302316	6.09993900060999e-4	0.001949980500195	rs12752223	5.00999999999992e-4
1	ENSG00000117507	1	1000	171096878	171140707	1.48624490037283	0.221778221778222	0.221778221778222	rs1736565	0.2228
1	ENSG00000117519	1	1000	95352504	95402834	0.193280738182046	0.68031968031968	0.68031968031968	rs2275612	0.6602
1	ENSG00000117525	1	1000	94984780	95017356	0.825420811999583	0.352647352647353	0.352647352647353	rs1324214	0.3636
1	ENSG00000117543	30	1000000	101445178	101501644	232.864675230888	4.06999593000407e-4	4.71999528000472e-4	rs6700743	1.37599999999998e-4
1	ENSG00000117560	2	100000	172618157	172646014	7.36299056137444	0.029959700402996	0.022269777302227	rs10458360	0.01176
1	ENSG00000117569	5	1000	97177220	97299294	0.645571617568338	0.725274725274725	0.676323676323676	rs12075245	0.597
1	ENSG00000117586	63	1000000	173142872	173186452	569.896426699744	3.2999967000033e-5	1.15999884000116e-4	rs11806687	1.83299999999998e-5
1	ENSG00000117595	3	1000	209948967	209989520	3.99940861803232	0.261738261738262	0.255744255744256	rs669694	0.1175
1	ENSG00000117597	2	100000	209991351	210040910	6.56957434012877	0.0661193388066119	0.0691993080069199	rs3753513	0.0478799999999997
1	ENSG00000117598	1	1000	99345800	99480588	0.00958729517570856	0.921078921078921	0.921078921078921	rs12084355	0.922
1	ENSG00000117600	1	1000	99719508	99785146	0.102288870117379	0.765234765234765	0.765234765234765	rs7552700	0.7491
1	ENSG00000117602	1	1000	24818840	24877530	0.00129440755474841	0.965034965034965	0.965034965034965	rs196432	0.9713
1	ENSG00000117650	1	1000	211821998	211858972	0.0128348084567863	0.928071928071928	0.928071928071928	rs7516189	0.9098
1	ENSG00000117676	2	100000	26846251	26911521	8.37332816591036	0.015919840801592	0.0694493055069449	rs998235	0.0353699999999998
1	ENSG00000117697	2	1000000	212889494	212975124	19.8375119697707	0.00164599835400165	0.00168499831500168	rs11800642	0.001503
1	ENSG00000117707	2	1000	214146523	214224845	2.61459096110804	0.271728271728272	0.226773226773227	rs340874	0.1275
1	ENSG00000117713	1	100000	27009726	27118601	3.67271555628274	0.0550394496055039	0.0550394496055039	rs12742115	0.0553099999999999
1	ENSG00000117724	3	100000	214766537	214847931	16.9769965675357	0.00974990250097499	0.022479775202248	rs335524	0.00977899999999996
1	ENSG00000117834	1	1000	48678356	48724316	0.403864863723176	0.495504495504495	0.495504495504495	rs850763	0.5251
1	ENSG00000118197	2	1000000	200583023	200649097	31.0453635241219	6.6999933000067e-5	7.3999926000074e-5	rs3806358	8.07400000000005e-5
1	ENSG00000118200	8	1000000	200698685	200839832	156.362038925249	9.99999000001e-7	3.999996000004e-6	rs2047148	4.43600000000003e-7
1	ENSG00000118217	6	1000	161726083	161943860	1.77580931264241	0.763236763236763	0.572427572427572	rs2341471	0.27
1	ENSG00000118292	1	100000	150230599	150263327	6.77313768579543	0.00926990730092699	0.00926990730092699	rs12139286	0.00925400000000002
1	ENSG00000118454	1	1000	70716270	70830417	0.461980147135031	0.516483516483517	0.516483516483517	rs12737233	0.4967
1	ENSG00000118473	2	100000	66989065	67223982	12.0199331006824	0.003119968800312	0.017439825601744	rs506778	0.00890600000000005
1	ENSG00000118655	21	100000	114437762	114466708	35.7833756373754	0.130358696413036	0.0783292167078329	rs1217397	0.00501899999999998
1	ENSG00000118733	2	1000	102258129	102472586	0.163969141655425	0.837162837162837	0.807192807192807	rs11583344	0.6909
1	ENSG00000119283	1	1000	231287857	231367302	1.26662916508915	0.254745254745255	0.254745254745255	rs4658907	0.2604
1	ENSG00000119285	3	1000	236702304	236777804	5.08486184318901	0.178821178821179	0.121878121878122	rs11807205	0.1159
1	ENSG00000120332	3	1000	175026993	175127202	1.16997098231635	0.699300699300699	0.57042957042957	rs4650704	0.2927
1	ENSG00000120341	3	100000	177883090	177963438	5.26047757173263	0.171188288117119	0.044069559304407	rs12747656	0.02229
1	ENSG00000120949	1	1000000	12113433	12214264	14.2215370489042	1.61999838000162e-4	1.61999838000162e-4	rs4427416	1.62499999999997e-4
